variety_id,variety_slug,category,companion_name,relationship,reason
1,cherokee-purple,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve tomato flavor"
1,cherokee-purple,tomato,Marigold,beneficial,Deters nematodes and repels hornworms and other tomato pests
1,cherokee-purple,tomato,Carrots,beneficial,"Help break up soil for tomato roots, don't compete for nutrients"
1,cherokee-purple,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies that prey on tomato pests
1,cherokee-purple,tomato,Chives,beneficial,Repels aphids and may help prevent fungal diseases
1,cherokee-purple,tomato,Nasturtiums,beneficial,"Act as trap crop for aphids and cucumber beetles, repel whiteflies"
1,cherokee-purple,tomato,Oregano,beneficial,Repels many insects and may enhance tomato growth and flavor
1,cherokee-purple,tomato,Lettuce,beneficial,"Provides living mulch, doesn't compete heavily for nutrients"
1,cherokee-purple,tomato,Black Walnut,harmful,Produces juglone which is toxic to tomatoes and causes wilting
1,cherokee-purple,tomato,Fennel,harmful,Inhibits growth of tomatoes through allelopathic compounds
1,cherokee-purple,tomato,Brassicas,harmful,Compete for similar nutrients and may stunt tomato growth
1,cherokee-purple,tomato,Corn,harmful,"Both attract corn earworm/tomato fruitworm, increasing pest pressure"
2,better-boy,tomato,Basil,beneficial,"Repels aphids and whiteflies, may improve flavor"
2,better-boy,tomato,Marigold,beneficial,Deters nematodes and whiteflies with natural compounds
2,better-boy,tomato,Parsley,beneficial,Attracts beneficial insects like hoverflies and parasitic wasps
2,better-boy,tomato,Carrots,beneficial,Loosens soil for tomato roots and doesn't compete for nutrients
2,better-boy,tomato,Nasturtium,beneficial,Acts as trap crop for aphids and cucumber beetles
2,better-boy,tomato,Chives,beneficial,Repels aphids and may improve tomato growth and flavor
2,better-boy,tomato,Lettuce,beneficial,Provides ground cover and benefits from tomato's partial shade
2,better-boy,tomato,Borage,beneficial,Attracts pollinators and may repel tomato hornworms
2,better-boy,tomato,Black Walnut,harmful,Produces juglone which is toxic to tomatoes and causes wilting
2,better-boy,tomato,Brassicas,harmful,Compete for nutrients and may stunt tomato growth
2,better-boy,tomato,Fennel,harmful,Inhibits growth of tomatoes through allelopathic compounds
